country,ghi_score,year
Timor-Leste,28.0,2025
Sierra Leone,28.5,2025
Afghanistan,29.0,2025
Zambia,29.6,2025
Angola,29.7,2025
Liberia,30.0,2025
Syrian Arab Republic,30.6,2025
Papua New Guinea,31.0,2025
Nigeria,32.8,2025
Central African Republic,33.4,2025
Niger,33.9,2025
Chad,34.8,2025
Haiti,35.7,2025
Madagascar,35.8,2025
Dem. Rep. of the Congo,37.5,2025
South Sudan,37.5,2025
Somalia,42.6,2025
